group,time_ms,avg_calcium_proxy
B1,25.0,0.24191252925501097
B1,75.0,0.851865570525907
B1,125.0,1.5275134905080305
B1,175.0,2.1869210377205217
B1,225.0,2.8188026507380597
B1,275.0,3.41653704580008
B1,325.0,4.004944489646261
B1,375.0,4.572365815878845
B1,425.0,4.90099752913025
B1,475.0,5.028070346495417
B1,525.0,5.032049949948741
B1,575.0,4.911479562280693
B1,625.0,4.732554463489974
B1,675.0,4.544378039049455
B1,725.0,4.36772223516881
B1,775.0,4.206018871326109
B1,825.0,4.069271642871623
B1,875.0,3.9034247078835116
B1,925.0,3.715456496533039
B1,975.0,3.5376461871525917
B1,1025.0,3.3680933746810333
B1,1075.0,3.194188619804962
B1,1125.0,3.0215729703787364
B1,1175.0,2.858285562322507
B1,1225.0,2.703822292518474
B1,1275.0,2.5577062998490487
B1,1325.0,2.419486493024695
B1,1375.0,2.2887361579687324
B1,1425.0,2.165051640459813
B1,1475.0,2.06967456626721
B1,1525.0,2.0024266527641004
B1,1575.0,1.9807083181819762
B1,1625.0,2.0209796529098543
B1,1675.0,2.1644891015440573
B1,1725.0,2.361059222331895
B1,1775.0,2.707831120017343
B1,1825.0,3.1331688785432177
B1,1875.0,3.508491825826693
B1,1925.0,3.833799855542072
B1,1975.0,4.076657667656367
B1,2025.0,4.225303315990898
B1,2075.0,4.232120876800343
B1,2125.0,4.145318814574974
B1,2175.0,4.036178249014599
B1,2225.0,3.9059063647032666
B1,2275.0,3.770511242411691
B1,2325.0,3.6181065448462952
B1,2375.0,3.452314411776314
B1,2425.0,3.287372973765218
B1,2475.0,3.1326965253074066
B1,2525.0,2.986378874271871
B1,2575.0,2.8344536403677822
B1,2625.0,2.681278260283155
B1,2675.0,2.53638055908871
B1,2725.0,2.399313206621
B1,2775.0,2.2696530466761895
B1,2825.0,2.1645688570069064
B1,2875.0,2.1232765384438115
B1,2925.0,2.1004332784325297
B1,2975.0,2.0869332801874547
B1,3025.0,2.1268700281287285
B1,3075.0,2.210598438893133
B1,3125.0,2.2952079884477667
B1,3175.0,2.3549731933506686
B1,3225.0,2.4452953209367894
B1,3275.0,2.591552391753409
B1,3325.0,2.7920731184055634
B1,3375.0,2.953376798972697
B1,3425.0,3.1316414092084615
B1,3475.0,3.359737037562797
B1,3525.0,3.5755062570208187
B1,3575.0,3.6755522616867866
B1,3625.0,3.7066727948643594
B1,3675.0,3.7050278250918085
B1,3725.0,3.654818951179621
B1,3775.0,3.5492103257922816
B1,3825.0,3.4452544466772523
B1,3875.0,3.3428619985482166
B1,3925.0,3.229785292969416
B1,3975.0,3.1106561128194237
B1,4025.0,2.970935403955783
B1,4075.0,2.8225476766772637
B1,4125.0,2.6794759677008284
B1,4175.0,2.587382862466144
B1,4225.0,2.52594438378214
B1,4275.0,2.479989272910724
B1,4325.0,2.4405720005688956
B1,4375.0,2.420853924929142
B1,4425.0,2.431933690734518
B1,4475.0,2.4180883005214926
B1,4525.0,2.4347233887141937
B1,4575.0,2.4369448414673505
B1,4625.0,2.462021178679935
B1,4675.0,2.4654703776534372
B1,4725.0,2.4917081130285714
B1,4775.0,2.5584234132097143
B1,4825.0,2.608018716698197
B1,4875.0,2.7400762622110446
B1,4925.0,2.897432547282695
B1,4975.0,3.0341220153432698
B1,5025.0,3.155315912091703
B1,5075.0,3.241579626773055
B1,5125.0,3.2907464050457653
B1,5175.0,3.304820985055289
B1,5225.0,3.3059717674912408
B1,5275.0,3.2827339614432893
B1,5325.0,3.240479939117371
B1,5375.0,3.1734800137211154
B1,5425.0,3.0790170670671766
B1,5475.0,2.986956014931285
B1,5525.0,2.9606859899205404
B1,5575.0,2.9317812110815615
B1,5625.0,2.908492861773822
B1,5675.0,2.883760093943192
B1,5725.0,2.8617153646654176
B1,5775.0,2.7895062117980762
B1,5825.0,2.7536344793546643
B1,5875.0,2.7169983410959637
B1,5925.0,2.6674759061232587
B1,5975.0,2.647659022715163
B1,6025.0,2.614046921128343
B1,6075.0,2.568736568923608
B1,6125.0,2.5204689456405065
B1,6175.0,2.486972930149177
B1,6225.0,2.5012369230165197
B1,6275.0,2.5377050150798075
B1,6325.0,2.6249095511914646
B1,6375.0,2.7033471079262616
B1,6425.0,2.793763457164047
B1,6475.0,2.88875392537669
B1,6525.0,2.9556361252923202
B1,6575.0,2.966196776492399
B1,6625.0,2.9572661914785767
B1,6675.0,2.970441686323998
B1,6725.0,2.989662503649971
B1,6775.0,2.9997358179363056
B1,6825.0,3.0538631642168683
B1,6875.0,3.096956640094466
B1,6925.0,3.122855188566274
B1,6975.0,3.1270821660658803
B1,7025.0,3.1310807154564886
B1,7075.0,3.097022115085709
B1,7125.0,3.003988060592536
B1,7175.0,2.921387482389462
B1,7225.0,2.8742532634976063
B1,7275.0,2.8579191529812396
B1,7325.0,2.81540531783617
B1,7375.0,2.798157085368879
B1,7425.0,2.803461702647353
B1,7475.0,2.7598268564110726
B1,7525.0,2.7009732868377148
B1,7575.0,2.6317819020495916
B1,7625.0,2.579914141330312
B1,7675.0,2.536316866373505
B1,7725.0,2.5721481995343605
B1,7775.0,2.625005431158556
B1,7825.0,2.689894124590862
B1,7875.0,2.7283076127538592
B1,7925.0,2.786268228550957
B1,7975.0,2.8397433417777984
B1,8025.0,2.821398392248948
B1,8075.0,2.822977587446774
B1,8125.0,2.8447538691863445
B1,8175.0,2.8856253487537136
B1,8225.0,2.917531232005834
B1,8275.0,2.9287969050331712
B1,8325.0,2.9935151610616098
B1,8375.0,3.0587904080944917
B1,8425.0,3.079994146793992
B1,8475.0,3.0622109581642927
B1,8525.0,3.054849048999853
B1,8575.0,3.073562847550291
B1,8625.0,3.0791021426933476
B1,8675.0,3.04919670477921
B1,8725.0,2.995221799147373
B1,8775.0,2.9225262054163568
B1,8825.0,2.8807680515615224
B1,8875.0,2.791226902103768
B1,8925.0,2.6848807361204514
B1,8975.0,2.6031481558212866
B1,9025.0,2.554180604698912
B1,9075.0,2.5376006195419833
B1,9125.0,2.5259809995842426
B1,9175.0,2.592044670355926
B1,9225.0,2.6870006267194375
B1,9275.0,2.7701126628398223
B1,9325.0,2.8366013628851556
B1,9375.0,2.8738281793656055
B1,9425.0,2.895537639804752
B1,9475.0,2.8958059901127458
B1,9525.0,2.8595783998406756
B1,9575.0,2.8509936878857385
B1,9625.0,2.8266580187968473
B1,9675.0,2.848235408071607
B1,9725.0,2.897027543291892
B1,9775.0,2.9458903925649826
B1,9825.0,2.9731953080641325
B1,9875.0,2.9949702514966043
B1,9925.0,3.02097433199699
B1,9975.0,3.038815804957131
B1,10025.0,3.012440288873598
B1,10075.0,2.9928764915008776
B1,10125.0,2.9703100917981087
B1,10175.0,2.9543663386963592
B1,10225.0,2.9216974468138486
B1,10275.0,2.8840212515167183
B1,10325.0,2.8375675512057486
B1,10375.0,2.78011636759028
B1,10425.0,2.721704142353881
B1,10475.0,2.6650766766528777
B1,10525.0,2.6317605340696746
B1,10575.0,2.5975514009354703
B1,10625.0,2.5989689996566603
B1,10675.0,2.650294308285459
B1,10725.0,2.708306236484612
