node_id,group,region,x,y,stimulated
0,H,hypostome,17.70095050255274,50.43756682662327,False
1,H,hypostome,4.054608191073201,50.97566870829775,False
3,H,hypostome,15.357331686512886,51.20050217585056,False
22,B1,column,24.21736546071528,8.467362420231721,False
23,B1,column,18.397720925339534,9.66334400604037,False
24,B1,column,16.67266258737139,10.227369128765778,False
62,B2,column,24.97525044241758,8.598434362606195,False
63,B2,column,4.119653710893292,8.64737091571262,False
64,B2,column,3.726932014358448,9.214983432283466,False
138,P,peduncle,16.152690438384933,1.099540239271633,False
143,P,peduncle,12.298375135455466,1.1426428089454896,False
160,P,peduncle,24.946266277438067,0.944859201926802,False
