time_ms,spike_rate_hz,calcium_proxy
25.0,40.57471264367816,54.21013658849216
75.0,208.27586206896552,324.1563530941067
125.0,257.2413793103448,618.08162347655
175.0,265.28735632183907,877.6338787812979
225.0,269.3103448275862,1102.7150622721485
275.0,264.9425287356322,1287.4065186165599
325.0,112.98850574712644,1240.725196084753
375.0,26.20689655172414,1085.2651166811356
425.0,14.942528735632184,938.6211608964617
475.0,10.689655172413794,808.8076499537588
525.0,14.482758620689655,703.9906884340405
575.0,15.862068965517242,617.1078835534612
625.0,15.862068965517242,543.5631770148136
675.0,10.804597701149426,474.5518561178481
725.0,4.827586206896552,408.149404982165
775.0,4.252873563218391,351.17309464769016
825.0,2.1839080459770117,300.17943294122404
875.0,1.9540229885057472,256.70709063737536
925.0,1.6091954022988506,219.4478379628721
975.0,0.0,185.75858440232795
1025.0,0.0,157.2412469381213
1075.0,0.0,133.10184193213195
1125.0,0.0,112.66827674482887
1175.0,1.0344827586206897,96.75376536773433
1225.0,20.45977011494253,109.23571718044067
1275.0,99.77011494252874,225.76461778528
1325.0,198.8505747126437,456.7813633033762
1375.0,241.26436781609195,709.0000697892087
1425.0,231.95402298850576,910.0594423501493
1475.0,165.7471264367816,991.796326628575
1525.0,69.08045977011494,931.8329103179996
1575.0,24.71264367816092,821.7970345234297
1625.0,13.10344827586207,713.1431275854186
1675.0,11.379310344827585,618.866034143896
1725.0,13.67816091954023,542.1335933105498
1775.0,15.172413793103448,479.17739173533226
1825.0,10.344827586206897,419.4361863678945
1875.0,8.160919540229886,365.94852175274906
1925.0,6.206896551724138,318.06150468434834
1975.0,3.9080459770114944,274.4546240357145
2025.0,2.6436781609195403,235.85292877477056
2075.0,1.7241379310344827,201.94874085030176
2125.0,0.0,170.94591849445106
2175.0,0.0,144.70259595019326
2225.0,0.0,122.48810301606916
2275.0,3.218390804597701,107.98389489661234
2325.0,15.402298850574713,111.98474574523325
2375.0,50.57471264367816,162.36374923543286
2425.0,96.89655172413794,266.87909572346996
2475.0,147.01149425287358,422.23069262859536
2525.0,191.49425287356323,613.1425436485756
2575.0,184.13793103448276,764.9138637269432
2625.0,159.54022988505747,860.5197739478222
2675.0,103.5632183908046,866.6618986632828
2725.0,53.67816091954023,805.2799106197361
2775.0,33.44827586206897,726.3317913843233
2825.0,24.367816091954023,647.3766863250137
2875.0,23.448275862068964,579.3159805954685
2925.0,13.67816091954023,508.64870463068473
2975.0,8.045977011494253,441.30460896584725
3025.0,5.862068965517241,381.3812366576048
3075.0,8.850574712643677,334.65227844252547
3125.0,7.471264367816092,293.25691066601115
3175.0,5.632183908045977,255.75962926012977
3225.0,3.103448275862069,220.64125769686007
3275.0,0.0,186.76791660953054
3325.0,0.8045977011494253,159.1698955131455
3375.0,5.517241379310345,142.10575772232485
3425.0,14.942528735632184,140.25399987828175
3475.0,36.4367816091954,167.4040718149941
3525.0,61.03448275862069,223.25004703445975
3575.0,89.88505747126437,309.06819861498
3625.0,120.34482758620689,422.3989841206665
3675.0,138.39080459770116,542.4063335893425
3725.0,152.06896551724137,662.2207594291349
3775.0,138.6206896551724,745.6548058669456
3825.0,107.93103448275862,775.2812398077846
3875.0,80.11494252873563,763.2252587891974
3925.0,45.747126436781606,707.1460490975222
3975.0,32.98850574712644,642.6496615647194
4025.0,26.091954022988507,578.8456638841419
4075.0,22.183908045977013,519.6161456972568
4125.0,19.080459770114942,465.3320262545068
4175.0,12.298850574712644,410.32022374431364
4225.0,8.735632183908047,358.99523842393864
4275.0,7.471264367816092,313.86128742916685
4325.0,7.471264367816092,275.6570985277261
4375.0,7.586206896551724,243.4725509389431
4425.0,6.32183908045977,214.54021855496273
