node_id,group,region,x,y,theta,x3d,y3d,z3d
0,H,hypostome,17.70095050255274,50.43756682662327,0.5656857504352892,4.030859503410525,2.5591869770087254,50.43756682662327
1,H,hypostome,4.054608191073201,50.97566870829775,-2.2923974998390886,-3.1540734435447066,-3.5845623208771307,50.97566870829775
2,H,hypostome,3.8563266905663074,51.23821807840973,-2.33392548019477,-3.300170969973569,-3.4505271899334042,51.23821807840973
3,H,hypostome,15.357331686512886,51.20050217585056,0.07483937341624891,4.761283292781788,0.35699821484570604,51.20050217585056
4,H,hypostome,14.188944607806938,51.60059258991405,-0.1698670441178738,4.705927983027233,-0.8071605404671613,51.60059258991405
5,H,hypostome,25.012026556628456,52.34958264987262,2.0969139385233246,-2.3977318656980158,4.128940326493265,52.34958264987262
6,H,hypostome,18.10143010778425,52.08939999891019,0.6495620028158133,3.802285400740638,2.8878871257098346,52.08939999891019
7,H,hypostome,15.338823518388333,53.00819322620127,0.07096303174881502,4.762631364836134,0.33853921811971743,53.00819322620127
8,H,hypostome,14.924962449444102,53.338900981078815,-0.01571582783798542,4.774058666279902,-0.07503446170773406,53.338900981078815
9,H,hypostome,8.94035812865594,53.45612589556203,-1.2691284257599735,1.4186110407207317,-4.559035976461608,53.45612589556203
10,H,hypostome,3.2830566130201406,53.688313174963994,-2.4539908844708958,-3.6897066740849285,-3.0304011250557474,53.688313174963994
11,H,hypostome,7.617651455647455,54.01870745228007,-1.5461554635451504,0.11763955022784382,-4.773198849382686,54.01870745228007
12,H,hypostome,19.608770901164142,54.34983728278646,0.9652587203450453,2.7177497494521905,3.9256977238293014,54.34983728278646
13,H,hypostome,7.814561375687885,54.83060103316547,-1.5049147463306196,0.3143338722768136,-4.7642901398073425,54.83060103316547
14,H,hypostome,11.868871454452961,55.21985044793723,-0.6557820290757248,3.784249230255557,-2.911481424092593,55.21985044793723
15,H,hypostome,3.089621809249823,55.60173386073786,-2.49450377503579,-3.8094158691399205,-2.8784747793703094,55.60173386073786
16,H,hypostome,22.921145515241893,56.25875496030884,1.6590008372466443,-0.42059963977697346,4.756086864486968,56.25875496030884
17,H,hypostome,6.7070659454745565,56.46438715297343,-1.7368680468267832,-0.7892942481658913,-4.7089575183195524,56.46438715297343
18,H,hypostome,9.42238330953085,56.69266831775167,-1.168173307954513,1.870864574636585,-4.392850107037101,56.69266831775167
