 ,Mean(CBpeduncle),Mean(RP1column),Mean(stimu)
991,24.256,40.720,94.875
992,24.854,40.383,94.875
993,24.705,40.632,94.875
994,24.543,40.671,94.875
995,24.209,40.737,94.875
996,24.165,40.534,94.875
997,23.714,40.563,94.875
998,23.208,40.363,94.875
999,22.978,40.568,94.958
1000,22.504,40.410,94.875
1001,22.256,40.383,94.875
1002,21.969,40.337,94.875
1003,21.709,40.368,94.875
1004,21.568,40.578,94.792
1005,21.529,40.744,93.500
1006,21.183,40.512,89.708
1007,20.907,40.576,83.208
1008,20.790,40.578,77.917
1009,20.570,40.220,73.958
1010,20.500,39.990,67.417
1011,20.401,40.298,61.292
1012,20.223,40.246,58.000
1013,20.218,40.356,54.708
1014,20.125,40.349,50.542
1015,22.006,40.468,49.125
1016,24.599,40.734,48.667
1017,24.788,40.810,49.125
1018,24.735,40.624,49.250
1019,24.510,40.702,48.667
1020,23.968,40.566,48.833
1021,23.593,40.563,49.042
1022,23.439,40.590,49.167
1023,23.032,40.690,49.083
1024,22.972,40.654,48.833
1025,22.492,40.676,49.208
1026,22.276,40.834,49.292
1027,22.263,40.500,49.125
1028,21.908,40.232,48.625
1029,21.637,40.520,48.542
1030,21.728,40.283,48.833
1031,21.620,40.373,48.917
1032,21.473,40.456,48.667
1033,21.372,40.263,48.583
1034,21.342,40.085,48.917
1035,21.457,40.490,48.708
1036,24.273,40.517,48.792
1037,24.642,40.888,48.583
1038,24.374,40.973,48.708
1039,24.365,40.910,49.250
1040,23.769,40.761,49.167
1041,23.448,40.788,48.875
1042,23.407,40.663,48.875
1043,23.174,40.883,49.125
1044,22.963,40.707,48.583
1045,22.708,40.861,48.708
1046,22.742,40.749,48.708
1047,22.449,40.698,48.750
1048,22.294,40.449,48.542
1049,22.198,40.544,48.917
1050,22.080,40.461,48.750
1051,21.891,40.512,48.875
1052,21.888,40.500,48.958
1053,21.978,40.427,48.500
1054,24.128,40.593,48.625
1055,24.527,40.800,48.875
1056,24.116,40.761,48.500
1057,24.109,40.766,48.708
1058,24.013,40.507,48.708
1059,23.571,40.634,48.708
1060,23.379,40.610,48.333
1061,23.177,40.629,48.833
1062,22.945,40.634,48.833
1063,22.810,40.285,48.583
1064,22.566,40.549,48.542
1065,22.580,40.707,48.708
1066,22.518,40.351,48.583
1067,22.319,40.444,48.583
1068,22.210,40.295,48.792
1069,22.107,40.480,48.625
1070,21.963,40.651,48.667
1071,21.966,40.420,48.333
1072,21.980,40.498,48.667
1073,21.830,40.217,48.375
1074,21.762,40.239,48.542
1075,21.726,40.295,48.333
1076,21.578,40.232,48.458
1077,24.099,40.534,48.667
1078,24.169,40.439,48.708
1079,24.013,40.937,48.583
1080,23.719,40.371,48.708
1081,23.170,40.539,48.667
1082,23.020,40.561,48.625
1083,22.827,40.651,48.792
1084,22.794,40.566,49.083
1085,22.376,40.434,49.083
1086,22.114,40.322,49.083
1087,22.057,40.341,48.958
1088,21.922,40.168,48.958
1089,21.824,40.429,48.708
1090,21.400,40.202,48.625
1091,21.545,40.183,48.833
1092,21.451,40.227,48.625
1093,21.350,40.166,48.667
1094,20.996,40.054,48.917
1095,21.088,40.139,48.667
1096,21.037,40.020,48.792
1097,20.987,39.932,48.417
1098,20.873,39.900,48.375
1099,21.008,40.049,48.667
1100,20.980,39.951,48.667
1101,20.810,39.807,48.667
1102,21.777,40.298,48.708
1103,23.372,40.427,48.792
1104,23.631,40.110,48.833
1105,23.245,40.366,48.750
1106,22.829,40.273,49.042
1107,22.643,40.132,48.750
1108,22.486,40.173,48.667
1109,22.127,40.310,48.792
1110,21.794,40.149,48.750
1111,21.710,40.198,48.583
1112,21.480,40.110,48.542
1113,21.472,40.020,48.625
1114,21.186,39.880,48.500
1115,20.983,39.790,48.750
1116,20.831,39.829,49.292
1117,20.528,39.790,51.375
1118,20.492,39.563,60.292
1119,20.416,39.632,64.292
1120,20.515,39.495,69.625
1121,20.202,39.420,75.750
1122,20.049,39.563,81.667
1123,19.920,39.341,85.417
1124,19.922,39.332,88.500
1125,19.840,39.498,92.083
1126,19.789,39.310,93.917
1127,19.644,39.200,94.750
1128,19.541,39.183,94.667
1129,19.620,39.056,94.875
1130,19.778,39.246,94.292
1131,19.511,39.232,94.750
1132,19.350,39.200,94.542
1133,19.362,39.129,94.583
1134,19.261,38.844,94.750
1135,19.406,39.178,94.667
1136,19.206,39.305,94.583
1137,19.070,39.224,94.917
1138,19.168,38.941,94.667
1139,19.095,39.368,94.458
1140,18.826,39.149,94.708
1141,18.794,39.341,94.875
1142,18.498,39.173,94.917
1143,18.575,39.395,94.875
1144,18.549,39.495,94.833
1145,18.342,39.490,94.917
1146,18.407,39.454,94.750
1147,18.275,39.720,94.875
1148,18.406,39.549,94.792
1149,18.158,39.339,94.875
1150,18.082,39.590,94.875
1151,18.053,39.600,94.917
1152,17.967,39.559,94.917
1153,18.098,39.705,94.917
1154,18.132,39.568,95.042
1155,18.071,39.490,95.042
1156,17.892,39.476,94.917
1157,17.988,39.580,94.917
1158,17.660,39.498,94.917
1159,17.492,39.512,94.667
1160,17.601,39.232,94.917
1161,17.627,39.359,94.875
1162,17.699,39.359,94.917
1163,17.300,39.271,94.875
1164,17.494,39.588,94.875
1165,17.719,39.327,94.917
1166,17.526,39.237,94.750
1167,17.449,39.363,94.917
1168,17.421,39.305,95.000
1169,17.422,39.232,94.917
1170,17.105,39.388,94.917
1171,17.359,39.115,94.958
1172,17.198,39.354,94.875
1173,17.023,39.256,94.958
1174,17.077,39.002,94.792
1175,17.148,39.010,94.917
1176,17.060,39.254,94.792
1177,16.826,39.137,94.792
1178,16.962,39.307,94.917
1179,16.937,39.288,94.833
1180,16.857,39.341,94.833
1181,16.774,39.051,94.875
1182,16.852,39.578,94.833
1183,16.710,39.034,94.958
1184,16.727,39.244,94.958
1185,16.657,39.093,94.833
1186,16.574,39.261,94.875
1187,16.748,39.005,94.833
1188,16.481,39.117,94.875
1189,16.373,39.100,94.792
1190,16.555,38.980,94.792
1191,16.316,39.371,94.958
1192,16.656,39.229,94.875
1193,16.564,39.022,94.833
1194,16.266,38.937,94.875
1195,16.239,39.056,94.917
1196,16.350,38.937,95.000
1197,16.150,38.973,94.875
1198,16.454,38.905,94.958
1199,16.478,39.068,94.958
1200,16.635,39.322,94.958
1201,16.486,39.239,94.667
1202,16.433,39.217,94.958
1203,16.398,39.276,94.958
1204,16.394,39.305,94.958
1205,16.312,39.063,94.875
1206,16.272,39.241,94.875
1207,16.155,39.520,94.917
1208,16.233,39.420,94.917
1209,16.300,39.539,94.958
1210,16.038,39.502,94.750
1211,15.906,39.510,95.000
1212,15.794,39.373,94.958
1213,15.805,39.320,94.542
1214,15.844,39.424,94.708
1215,15.646,39.120,94.667
1216,15.638,39.422,94.708
1217,15.727,39.461,94.542
1218,15.563,39.268,94.750
1219,15.652,39.488,94.750
1220,15.338,39.424,94.958
1221,15.520,39.659,94.958
1222,15.591,39.585,94.958
1223,15.555,39.554,94.958
1224,15.312,39.480,94.958
1225,15.688,39.612,94.958
1226,15.256,39.546,94.958
1227,15.498,39.837,94.958
1228,15.285,39.876,94.958
1229,15.141,39.617,95.167
1230,15.193,39.578,95.167
1231,15.230,39.524,95.167
1232,15.154,39.612,95.125
1233,15.077,39.407,95.000
1234,15.084,39.737,95.083
1235,15.121,39.737,94.958
1236,14.861,39.507,94.958
1237,14.789,39.785,94.792
1238,14.971,39.439,95.167
1239,15.045,39.602,95.167
1240,14.967,39.707,95.042
1241,14.928,39.680,94.875
1242,14.834,39.878,94.792
1243,14.940,39.839,94.833
1244,14.976,39.966,94.833
1245,15.246,40.156,94.833
1246,14.977,40.022,94.833
1247,14.905,39.924,94.833
1248,14.653,39.837,94.917
1249,14.950,39.868,94.833
1250,15.050,40.029,94.917
1251,14.842,39.978,94.917
1252,14.956,40.010,94.875
1253,14.820,40.222,94.875
1254,14.771,40.037,94.917
1255,14.515,39.959,94.667
1256,14.710,39.829,94.708
1257,14.663,40.066,94.917
1258,14.606,39.968,94.958
1259,14.562,39.968,94.542
1260,14.782,40.032,91.875
1261,14.407,40.090,84.875
1262,14.780,39.912,78.083
1263,14.613,40.046,74.875
1264,14.610,39.898,68.625
1265,14.478,40.063,62.000
1266,14.584,40.151,58.333
1267,14.459,40.246,55.542
1268,14.653,40.251,52.167
1269,14.764,40.212,49.417
1270,14.738,40.188,48.667
1271,14.663,40.254,49.083
1272,14.566,40.271,48.542
1273,14.558,40.393,48.542
1274,14.340,40.256,48.458
1275,14.555,39.995,48.667
1276,14.604,40.312,49.250
1277,14.416,40.134,49.167
1278,14.361,40.032,49.167
1279,14.442,40.459,48.792
1280,14.326,40.417,48.833
1281,14.364,40.476,48.875
1282,14.474,40.449,48.792
1283,14.283,40.461,48.583
1284,14.504,40.449,48.917
1285,14.306,40.273,48.458
1286,14.600,40.446,48.333
1287,14.321,40.507,48.292
1288,14.395,40.302,48.917
1289,14.386,40.524,48.792
1290,14.511,40.368,48.875
1291,14.425,40.527,48.750
1292,14.409,40.407,48.875
1293,14.415,40.498,48.833
1294,14.650,40.451,48.792
1295,14.380,40.644,48.792
1296,14.477,40.420,48.625
1297,14.396,40.622,48.583
1298,14.358,40.551,48.708
1299,14.365,40.522,48.667
1300,14.448,40.444,48.958
1301,14.376,40.502,48.875
1302,14.316,40.888,48.333
1303,14.336,40.500,48.500
1304,14.197,40.468,48.708
1305,14.260,40.468,48.625
1306,14.205,40.485,48.708
1307,14.225,40.573,48.792
1308,14.140,40.654,48.750
1309,14.202,40.563,48.667
1310,14.225,40.546,48.875
1311,14.199,40.422,48.833
1312,14.184,40.732,48.500
1313,14.250,40.561,48.458
1314,14.278,40.317,48.625
1315,14.239,40.761,48.625
1316,14.134,40.632,48.458
1317,14.250,40.520,48.458
1318,14.314,40.678,48.500
1319,14.110,40.471,48.708
1320,14.064,40.368,48.375
1321,14.208,40.446,48.500
1322,14.088,40.595,48.500
1323,14.095,40.454,48.542
1324,14.112,40.678,48.333
1325,14.119,40.563,48.375
1326,14.200,40.571,48.917
1327,14.140,40.402,48.583
1328,14.172,40.539,48.708
1329,14.033,40.466,48.375
1330,14.156,40.354,48.667
1331,14.112,40.324,48.750
1332,14.007,40.622,48.458
1333,14.187,40.554,48.667
1334,14.070,40.617,48.625
1335,14.166,40.383,48.875
1336,14.432,40.717,49.000
1337,14.290,40.449,48.958
1338,14.190,40.549,48.833
1339,14.338,40.510,48.750
1340,14.361,40.549,48.792
1341,14.258,40.402,48.792
1342,14.370,40.510,48.958
1343,14.128,40.556,48.667
1344,14.146,40.551,48.708
1345,14.299,40.729,48.750
1346,14.283,40.863,49.208
1347,14.164,40.380,48.542
1348,14.135,40.717,48.542
1349,14.106,40.441,48.833
1350,14.070,40.534,48.708
1351,14.045,40.459,48.875
1352,14.213,40.483,48.750
1353,14.363,40.602,48.625
1354,14.149,40.595,48.750
1355,14.371,40.485,48.958
1356,14.089,40.532,48.292
1357,14.116,40.602,48.625
1358,13.856,40.283,48.458
1359,14.052,40.524,48.708
1360,14.187,40.754,48.708
1361,14.294,40.734,48.583
1362,14.044,40.802,48.667
1363,14.204,40.802,48.875
1364,14.151,40.585,48.583
1365,14.062,40.676,48.875
1366,13.952,40.617,48.792
1367,14.135,40.627,49.083
1368,14.200,40.861,48.833
1369,14.264,40.676,48.667
1370,13.901,40.776,48.917
1371,13.942,40.588,48.542
1372,14.012,40.583,48.667
1373,14.000,40.734,48.750
1374,13.924,40.800,49.083
1375,14.010,40.695,48.708
1376,13.924,40.727,48.667
1377,13.922,40.585,48.542
1378,13.893,40.893,48.583
1379,14.228,40.678,48.792
1380,14.152,40.480,48.708
1381,13.920,40.507,48.625
1382,14.118,40.680,48.708
1383,14.074,41.024,48.708
1384,14.103,40.761,48.708
1385,13.893,40.654,48.583
1386,14.003,40.541,48.750
1387,13.929,40.863,48.833
1388,14.016,40.778,48.667
1389,13.981,40.720,48.417
1390,13.760,40.700,49.000
1391,14.002,40.800,48.833
1392,13.979,40.724,48.958
1393,13.866,40.885,48.833
1394,13.837,40.707,48.792
1395,13.780,40.817,48.625
1396,13.791,40.512,49.125
1397,13.571,40.761,48.667
1398,13.698,40.766,48.708
1399,14.049,41.029,48.667
1400,13.920,40.880,48.750
1401,13.907,40.937,48.542
1402,13.768,40.807,48.875
1403,18.290,40.800,49.083
1404,20.412,41.037,48.917
1405,20.884,40.876,48.917
1406,20.759,40.659,49.000
1407,20.293,40.659,48.542
1408,20.069,40.283,48.625
1409,19.783,40.515,48.667
1410,19.574,40.578,48.792
1411,19.102,40.173,49.042
1412,18.959,39.966,48.667
1413,18.707,40.259,48.750
1414,18.498,40.134,48.958
1415,18.108,39.978,48.833
1416,17.982,39.776,48.792
1417,17.900,40.010,48.667
1418,17.712,39.751,48.875
1419,17.306,39.705,48.792
1420,17.394,39.827,48.750
1421,17.456,39.707,48.708
1422,17.291,39.539,48.500
1423,16.862,39.739,48.625
1424,16.914,39.637,48.917
1425,16.848,39.420,48.667
1426,17.038,39.876,48.750
1427,16.896,39.900,49.250
1428,16.884,39.905,49.125
1429,16.797,39.663,48.667
1430,16.628,39.773,48.958
1431,16.522,39.863,49.083
1432,16.495,39.968,49.000
1433,16.308,40.037,49.125
1434,16.177,39.688,49.000
1435,16.095,39.754,48.750
1436,15.959,39.751,48.875
1437,16.012,39.839,48.583
1438,15.940,39.683,48.708
1439,15.745,39.917,48.625
1440,15.693,39.622,48.750
1441,15.671,39.851,49.000
1442,15.522,39.798,48.625
1443,15.548,39.593,48.458
1444,15.591,39.854,50.708
1445,15.587,39.863,56.542
1446,15.426,39.839,62.625
1447,15.325,39.902,67.333
1448,15.379,39.712,72.750
1449,15.446,40.017,78.583
1450,15.641,39.988,83.542
1451,15.423,40.044,86.917
1452,15.186,39.793,90.833
1453,15.340,39.905,93.958
1454,14.939,39.910,93.833
1455,20.599,40.254,94.667
1456,21.539,40.420,94.292
1457,21.522,40.607,94.875
1458,21.174,40.710,94.667
1459,21.235,40.698,94.792
1460,20.815,40.451,94.958
1461,20.501,40.378,94.708
1462,20.442,40.693,94.667
1463,19.862,40.476,94.750
1464,19.709,40.195,94.833
1465,19.518,40.171,94.667
1466,19.237,40.378,94.417
1467,19.097,40.422,94.542
1468,18.980,40.163,94.833
1469,18.855,40.266,94.750
1470,18.874,40.178,94.750
1471,18.537,40.224,94.792
1472,18.570,40.080,94.917
1473,18.570,40.493,94.958
1474,18.234,40.334,94.958
1475,18.278,40.234,94.958
1476,18.410,40.229,94.958
1477,18.253,39.988,94.958
1478,18.086,40.163,94.958
1479,18.005,40.246,94.958
1480,18.040,40.149,94.958
1481,17.561,40.288,94.958
1482,17.596,40.229,94.958
1483,17.400,40.210,94.958
1484,17.742,40.307,94.958
1485,17.246,39.846,94.958
1486,17.287,40.183,94.958
1487,17.316,40.083,94.958
1488,22.027,40.600,94.542
1489,22.660,40.598,94.875
1490,22.761,40.668,95.000
1491,22.671,40.507,94.875
1492,22.449,40.720,94.542
1493,22.188,40.576,95.000
1494,21.844,40.573,94.958
1495,21.704,40.315,94.792
1496,21.192,40.690,94.583
1497,21.039,40.595,94.792
1498,20.933,40.390,94.833
1499,20.594,40.359,94.833
1500,20.575,40.505,94.708
1501,20.072,40.385,94.958
1502,20.037,40.361,94.792
1503,19.960,40.402,94.792
1504,19.590,40.461,94.667
1505,19.656,40.410,94.667
1506,19.565,40.144,94.750
1507,19.458,40.224,94.750
1508,19.228,40.237,94.708
1509,19.167,40.163,94.750
1510,19.022,40.234,94.708
1511,19.130,40.120,94.667
1512,18.839,39.920,94.708
1513,18.733,40.312,94.750
1514,18.863,40.020,94.750
1515,18.633,40.224,94.917
1516,18.554,40.246,94.875
1517,18.301,40.161,94.958
1518,18.383,40.015,94.625
1519,18.467,39.959,94.792
1520,18.478,39.924,94.792
1521,18.243,40.159,94.542
1522,22.959,40.651,94.792
1523,23.512,40.515,94.500
1524,23.697,40.507,94.875
1525,23.474,40.417,94.917
1526,23.443,40.559,94.667
1527,22.993,40.510,94.875
1528,22.579,40.778,95.000
1529,22.347,40.629,94.875
1530,22.192,40.534,95.000
1531,21.624,40.705,94.708
1532,21.372,40.234,94.875
1533,21.306,40.380,94.750
1534,21.336,40.505,94.833
1535,21.062,40.463,94.750
1536,20.896,40.300,94.875
1537,20.853,40.563,94.542
1538,20.815,40.517,94.750
1539,20.777,40.566,94.958
1540,20.552,40.095,95.042
1541,20.418,40.110,94.667
1542,20.482,40.271,95.125
1543,20.437,40.132,95.083
1544,20.409,40.207,95.083
1545,20.571,40.276,95.083
1546,23.495,40.659,94.500
1547,23.969,40.439,94.958
1548,23.859,40.790,94.958
1549,23.661,40.627,95.083
1550,23.602,40.605,95.167
1551,23.305,40.712,95.125
1552,23.094,40.868,94.917
1553,22.853,40.607,95.083
1554,22.584,40.922,94.750
1555,22.492,40.834,95.083
1556,22.273,40.559,94.917
1557,22.298,40.568,95.083
1558,21.897,40.324,94.958
1559,21.815,40.390,95.125
1560,21.903,40.327,94.958
1561,21.754,40.559,95.042
1562,21.930,40.222,94.958
1563,21.884,40.461,94.750
1564,21.623,40.559,95.042
1565,21.411,40.322,94.750
1566,23.735,40.583,94.792
1567,24.329,40.588,94.875
1568,24.234,40.910,94.875
1569,23.984,40.727,94.750
1570,23.947,40.695,94.833
1571,23.545,40.580,94.875
1572,23.282,40.810,94.875
1573,22.919,40.698,94.792
1574,22.771,40.837,94.833
1575,22.682,40.317,94.958
1576,22.555,40.734,95.125
1577,22.162,40.490,94.875
1578,22.145,40.441,94.958
1579,21.956,40.527,94.958
1580,21.885,40.495,94.958
1581,21.567,40.517,94.667
1582,21.545,40.466,94.958
1583,21.415,40.483,94.958
1584,21.350,40.376,94.958
1585,21.422,40.344,94.875
1586,21.446,40.368,94.708
1587,21.250,40.402,92.917
1588,21.275,40.422,87.208
1589,21.262,40.324,81.125
1590,23.692,40.563,76.250
1591,24.834,40.629,71.333
1592,24.714,40.927,64.708
1593,24.446,40.763,60.458
1594,24.273,40.702,57.417
1595,23.989,40.649,52.500
1596,23.674,40.773,49.667
1597,23.195,40.822,48.958
1598,23.028,40.807,48.625
1599,22.826,40.639,48.917
1600,22.389,40.746,48.375
1601,22.174,40.722,48.792
1602,21.949,40.668,48.625
1603,21.810,40.705,48.500
1604,21.614,40.705,48.667
1605,21.718,40.512,48.667
1606,21.391,40.710,49.125
1607,21.266,40.551,48.917
1608,21.139,40.541,48.708
1609,21.382,40.612,48.708
1610,21.183,40.707,48.458
1611,21.277,40.624,48.875
1612,21.359,40.566,48.708
1613,21.350,40.805,48.750
1614,21.094,40.515,48.667
1615,21.066,40.693,48.625
1616,20.723,40.729,48.875
1617,20.785,40.715,48.875
1618,20.649,40.471,48.875
1619,20.463,40.717,48.708
1620,20.772,40.729,48.917
1621,20.507,40.488,48.875
1622,20.432,40.556,49.000
1623,20.401,40.395,48.875
1624,20.296,40.622,49.000
1625,20.405,40.402,48.625
1626,20.310,40.400,48.917
1627,20.256,40.141,48.583
1628,20.328,40.449,48.667
1629,20.371,40.295,48.542
1630,20.279,40.115,48.958
1631,20.346,40.661,48.875
1632,20.189,40.312,48.792
1633,20.219,40.115,48.792
1634,20.075,40.224,49.125
1635,20.135,40.166,49.125
1636,20.030,40.298,48.625
1637,20.260,40.295,49.083
1638,20.024,40.220,48.750
1639,20.216,40.310,48.667
1640,20.032,40.227,48.708
1641,20.042,40.127,49.125
1642,20.056,40.246,48.250
1643,20.100,40.173,48.917
1644,20.108,40.363,48.667
1645,20.224,40.190,48.833
1646,20.070,40.122,48.833
1647,20.048,40.041,48.625
1648,19.980,39.829,48.917
1649,20.081,40.210,49.000
1650,19.895,40.212,49.042
1651,19.855,39.905,48.708
1652,19.918,40.115,48.625
1653,19.963,39.661,48.708
1654,20.007,39.946,49.125
1655,20.066,39.978,49.000
1656,19.936,40.071,49.125
1657,19.946,39.900,48.583
1658,19.919,40.105,48.625
1659,20.041,39.844,48.583
1660,19.802,39.676,48.583
1661,19.885,39.871,48.458
1662,19.816,39.715,48.792
1663,19.887,39.890,48.667
1664,19.778,39.846,48.375
1665,19.740,39.741,48.542
1666,19.937,39.993,48.833
1667,19.992,39.810,48.958
1668,19.904,39.741,48.542
1669,19.803,39.602,48.750
1670,19.780,39.520,49.042
1671,19.780,39.434,48.583
1672,19.864,39.876,48.542
1673,19.864,39.517,48.667
1674,19.879,39.615,48.583
1675,19.678,39.454,48.583
1676,19.935,39.322,48.625
1677,19.803,39.493,48.708
1678,19.760,39.500,48.917
1679,19.753,39.337,48.667
1680,19.816,39.563,48.625
1681,19.450,39.437,48.708
1682,19.516,39.402,48.917
1683,19.674,39.541,48.833
1684,19.669,39.546,48.250
1685,19.623,39.439,48.250
1686,19.585,39.168,48.417
1687,19.694,39.480,48.417
1688,19.620,39.539,48.458
1689,19.793,39.300,48.750
1690,19.746,39.222,48.833
1691,19.472,39.366,48.917
1692,19.614,39.290,48.250
1693,19.627,39.422,48.625
1694,19.610,39.500,48.583
1695,19.454,39.237,48.500
1696,19.787,39.368,48.458
1697,19.708,39.527,48.208
1698,19.518,39.480,49.625
1699,19.604,39.085,54.000
1700,19.552,39.202,60.042
1701,19.483,39.237,65.458
1702,19.453,39.402,69.708
1703,19.314,39.227,77.208
1704,19.621,39.471,82.917
1705,19.426,39.349,85.458
1706,19.459,39.437,89.500
1707,19.326,39.280,92.958
1708,19.265,39.444,94.458
1709,19.357,39.337,94.500
1710,19.318,39.405,94.833
1711,19.328,39.427,95.125
1712,19.291,39.263,94.500
1713,19.524,39.334,95.333
1714,19.396,39.417,94.792
1715,19.105,39.315,94.667
1716,19.229,39.334,94.875
1717,19.394,39.227,94.625
1718,19.237,39.471,94.708
1719,19.171,39.383,94.708
1720,19.286,39.405,94.833
1721,19.291,39.617,94.500
1722,19.142,39.498,94.292
1723,19.342,39.710,94.667
1724,19.228,39.300,94.792
1725,19.235,39.649,94.458
1726,19.181,39.715,95.042
1727,19.271,39.515,94.875
1728,19.073,39.563,95.042
1729,19.096,39.705,94.917
1730,18.886,39.595,94.458
1731,18.986,39.727,95.083
1732,18.727,39.749,95.000
1733,19.148,39.722,95.000
1734,19.123,39.841,95.083
1735,19.275,39.941,95.083
1736,18.996,39.585,95.083
1737,18.865,39.715,95.083
1738,18.917,39.580,94.750
1739,18.797,39.893,95.042
1740,18.748,39.615,95.042
1741,18.862,39.988,95.042
1742,18.885,39.851,95.042
1743,18.925,39.880,94.917
1744,18.652,39.837,95.042
1745,18.772,39.566,94.250
1746,18.816,39.683,94.833
1747,18.573,39.844,94.583
1748,18.773,39.929,94.500
1749,18.814,39.876,94.583
1750,18.748,39.776,94.542
1751,18.546,39.663,94.958
1752,18.784,39.812,94.708
1753,18.768,39.954,94.875
1754,18.840,40.005,94.708
1755,18.636,39.888,95.000
1756,18.490,39.746,94.792
1757,18.548,39.966,94.750
1758,18.762,39.771,94.833
1759,18.657,39.910,94.875
1760,18.585,39.837,94.833
1761,18.293,39.841,94.667
1762,18.538,39.959,94.917
1763,18.431,40.027,94.792
1764,18.478,40.144,94.792
1765,18.302,39.727,94.625
1766,18.531,39.866,94.833
1767,18.342,40.098,95.042
1768,18.404,40.076,94.583
1769,18.534,40.129,94.833
1770,18.444,40.200,94.958
1771,18.282,39.976,94.708
1772,18.306,39.851,94.708
1773,18.361,40.127,94.708
1774,18.505,40.071,94.458
1775,18.289,40.046,94.708
1776,18.403,40.320,94.708
1777,18.149,40.302,94.750
1778,18.243,40.090,94.792
1779,18.107,40.163,94.750
1780,18.140,39.861,94.750
1781,18.432,40.110,94.958
1782,18.414,40.351,94.958
1783,18.351,40.205,94.958
1784,18.033,40.251,94.583
1785,18.196,39.651,94.833
1786,17.968,40.227,94.875
1787,18.210,40.039,95.000
1788,18.077,40.132,94.792
1789,18.327,40.117,94.792
1790,18.102,39.980,94.833
1791,18.084,40.117,94.542
1792,18.080,40.295,94.833
1793,18.148,40.107,94.542
1794,18.169,39.990,94.708
1795,18.021,40.095,94.625
1796,18.361,40.198,94.500
1797,18.308,40.134,94.625
1798,18.153,40.320,94.750
1799,17.917,40.217,94.625
1800,17.908,40.139,94.833
1801,18.064,40.317,94.708
1802,18.052,40.337,94.917
1803,17.885,40.271,94.708
1804,17.917,40.185,94.792
1805,18.172,40.100,94.792
1806,18.063,40.366,95.000
1807,17.888,40.459,94.458
1808,17.912,40.302,95.042
1809,17.828,40.583,95.042
1810,17.801,40.161,95.000
1811,17.781,40.417,94.958
1812,17.960,40.205,95.042
1813,17.792,40.359,94.917
1814,17.823,40.246,94.667
1815,17.659,40.349,94.875
1816,17.786,40.329,94.833
1817,17.688,40.149,94.208
1818,17.790,40.341,95.000
1819,17.730,40.332,94.750
1820,18.208,40.707,95.167
1821,18.290,40.761,94.792
1822,18.148,40.739,94.833
1823,18.399,40.837,94.917
1824,18.189,40.868,94.792
1825,18.254,40.715,94.750
1826,17.894,40.807,94.875
1827,18.075,40.537,94.875
1828,17.710,40.527,94.792
1829,17.984,40.634,94.833
1830,17.681,40.466,94.583
1831,17.729,40.571,94.833
1832,17.728,40.527,94.792
1833,17.643,40.629,94.833
1834,17.627,40.395,94.958
1835,17.639,40.341,94.875
1836,17.594,40.493,94.750
1837,17.732,40.437,95.000
1838,17.490,40.276,94.833
1839,17.537,40.378,94.625
1840,17.477,40.446,95.083
1841,17.477,40.363,94.833
1842,17.453,40.217,91.875
1843,17.444,40.656,85.583
1844,17.377,40.293,79.167
1845,17.419,40.339,75.500
1846,17.448,40.110,69.458
1847,17.401,40.539,62.458
1848,17.120,40.298,58.250
1849,17.309,40.490,55.708
1850,17.297,40.661,51.292
1851,17.230,40.298,48.583
1852,17.154,40.500,48.792
1853,17.208,40.200,48.708
1854,17.218,40.171,48.583
1855,17.242,40.349,48.792
1856,17.310,40.441,48.417
1857,17.177,40.420,48.792
1858,17.093,40.417,49.000
1859,17.000,40.244,48.917
1860,17.166,40.144,48.750
1861,17.144,40.085,48.792
1862,17.070,40.212,48.875
1863,16.872,40.202,48.292
1864,17.090,40.263,49.042
1865,17.080,40.193,48.667
1866,17.097,40.298,49.083
1867,17.068,40.341,48.750
1868,16.846,40.366,48.958
1869,16.954,40.224,49.083
1870,16.674,40.478,48.708
1871,17.028,40.437,49.125
1872,16.898,40.324,49.000
1873,17.015,40.324,48.875
1874,16.960,40.241,48.917
1875,16.978,40.471,48.500
1876,16.584,40.066,48.958
1877,16.641,40.556,49.250
1878,16.700,40.149,48.792
1879,16.473,40.215,48.583
1880,16.543,40.427,48.583
1881,16.485,40.212,48.292
1882,16.547,40.395,48.833
1883,16.635,40.078,48.708
1884,16.526,40.473,48.625
1885,16.678,40.337,48.750
1886,16.426,40.522,48.458
1887,16.422,40.341,48.750
1888,16.440,40.359,48.500
1889,16.352,40.480,48.625
1890,16.484,40.120,48.750
1891,16.400,40.490,48.625
1892,16.483,40.195,49.208
1893,16.607,40.495,48.958
1894,16.404,40.368,48.583
1895,16.372,40.315,48.583
1896,16.316,40.266,48.792
1897,16.448,40.507,48.625
1898,16.472,40.295,48.708
1899,16.396,40.459,49.000
1900,16.402,40.429,49.125
1901,16.329,40.024,48.708
1902,16.347,40.229,48.625
1903,16.220,40.624,48.417
1904,16.423,40.320,48.292
1905,16.217,40.585,48.458
1906,16.186,40.180,48.917
1907,16.221,40.439,48.750
1908,16.162,40.385,48.458
1909,16.241,40.317,48.458
1910,16.170,40.237,48.625
1911,16.245,40.283,48.625
1912,16.124,40.249,49.208
1913,16.049,40.239,48.792
1914,16.302,40.444,48.667
1915,16.110,40.480,48.708
1916,16.135,40.315,48.500
1917,16.116,40.366,48.417
1918,15.980,40.215,48.667
1919,16.191,40.373,48.667
1920,16.220,40.310,48.583
1921,15.990,40.344,48.708
