Time_seconds,dFF_CB,dFF_RP1,StimValue,StimLabel,CB_Peak,RP1_Peak
0,0.273489533859103,0.0525670458243205,48.458,18,0,0
0.418410041841004,0.255585676364131,0.0529543011788877,48.75,18,0,0
0.836820083682008,0.244309160467997,0.0543907914501428,48.25,18,0,0
1.25523012552301,0.23825362927486,0.0565327677492785,48.708,18,0,0
1.67364016736402,0.236012725888881,0.0590364811874875,49.167,18,0,0
2.09205020920502,0.23618009341422,0.0615581828759626,48.667,18,0,0
2.51046025104603,0.238368472494677,0.0641189686696673,48.708,18,1,0
2.92887029288703,0.236764333235731,0.0643244291494516,48.792,18,0,0
3.34728033472803,0.233058419858105,0.0644257848718815,48.75,18,0,0
3.76569037656904,0.228613958611993,0.0650523855497576,48.958,18,0,1
4.18410041841004,0.224754882755669,0.0643830553072957,48.208,18,0,0
4.60251046025105,0.220726262794279,0.0634952963116019,48.667,18,0,0
5.02092050209205,0.214285419711014,0.0619276292651501,48.333,18,0,0
5.43933054393305,0.207073036392871,0.0601832470823625,48.292,18,0,0
5.85774058577406,0.19881452012374,0.0584758573477968,49.333,18,0,0
6.27615062761506,0.193674813490029,0.0576160070327484,53.625,18,0,0
6.69456066945607,0.186725567205221,0.0556256459858561,58.375,18,0,0
7.11297071129707,0.180472139092151,0.0545225658416274,63.708,18,0,0
7.53138075313807,0.176221278884931,0.0544789398526098,69.792,18,0,0
7.94979079497908,0.172514219939028,0.0537138117191955,76.833,18,0,0
8.36820083682009,0.171012036256778,0.0546525473842484,81.792,18,0,0
8.78661087866109,0.168942223493039,0.0552295459102278,83.833,18,0,1
9.20502092050209,0.14330852948899,0.0547169106584566,83.708,18,0,0
9.6234309623431,0.134290043224582,0.0543676039381718,84.583,18,0,0
10.0418410041841,0.156435710937382,0.0564254358639694,85.042,18,0,0
10.4602510460251,0.210828209206428,0.0597321065466175,83.917,18,0,0
10.8786610878661,0.292578252623466,0.0606692884093217,82.333,18,0,0
11.2970711297071,0.393297990260837,0.0610793727060871,80.458,18,0,1
11.7154811715481,0.504214087465513,0.0594380195713357,77.667,18,0,0
12.1338912133891,0.6105532957312,0.0563231837171075,72.042,18,0,0
12.5523012552301,0.701612799755123,0.0537201464518474,69,18,0,0
12.9707112970711,0.758906449686871,0.0494283053185757,69.625,18,0,0
13.3891213389121,0.767594324946399,0.0459682265348205,72.083,18,0,0
13.8075313807531,0.773394795362556,0.0440184436338775,72.542,18,0,0
14.2259414225941,0.77379024553194,0.0435713071272614,70.25,18,1,0
14.6443514644351,0.768319927893351,0.0431491509814801,68,18,0,0
15.0627615062761,0.761999827706531,0.0428266772325226,66.833,18,0,0
15.4811715481172,0.750571524013631,0.0417703904436374,69.125,18,0,0
15.8995815899582,0.738373742108753,0.0386069086235731,71.542,18,0,0
16.3179916317992,0.727326798095424,0.0344853881323564,71.167,18,0,0
16.7364016736402,0.716563153117114,0.0307966015952171,67.875,18,0,0
17.1548117154812,0.704445560991659,0.0273529572593794,65.833,18,0,0
17.5732217573222,0.691862409918239,0.0261163696364311,65.083,18,0,0
17.9916317991632,0.68289329764659,0.0237394106128883,65.292,18,0,0
18.4100418410042,0.67410942376541,0.0206968863294974,65.417,18,0,0
18.8284518828452,0.665842201177369,0.018129466994997,65.625,18,0,0
19.2468619246862,0.660412894883113,0.0167251284800316,65.417,18,0,0
19.6652719665272,0.653301550687043,0.0134086568902618,64.25,18,0,0
20.0836820083682,0.647738212904323,0.010512966928811,64.042,18,0,0
20.5020920502092,0.641519380953232,0.00790449135533095,63.75,18,0,0
20.9205020920502,0.633065316179136,0.00470353899401453,62.833,18,0,0
21.3389121338912,0.627365999441879,0.0040474758331443,60.75,18,0,0
21.7573221757322,0.623980043284152,0.00447991097907771,57.25,18,0,0
22.1757322175732,0.623539572281464,0.00551522143625717,54.417,18,0,0
22.5941422594142,0.622214035227599,0.00703023848774391,52.542,18,0,0
23.0125523012552,0.621609060620266,0.0100103716306767,51.917,18,0,0
23.4309623430962,0.62106926884792,0.011989258444841,51.792,18,0,0
23.8493723849372,0.618417621956054,0.0140372894635168,51.792,18,0,0
24.2677824267782,0.613880369679466,0.016042829964122,50.75,18,0,0
24.6861924686192,0.605534675664418,0.0167460450501085,49.583,18,0,1
25.1046025104603,0.594357480537941,0.0153498341166588,49.292,18,0,0
25.5230125523013,0.583801985315648,0.0156083031611809,48.625,18,0,1
25.9414225941423,0.574602270149744,0.0150106868732685,48.708,18,0,0
26.3598326359833,0.56627421788617,0.0155666493059134,48.792,18,0,0
26.7782426778243,0.556706431632715,0.015660953156146,48.583,18,0,0
27.1966527196653,0.548068961377395,0.0158748997872186,48.708,18,0,0
27.6150627615063,0.540781085109766,0.0173489203613546,48.5,18,0,0
28.0334728033473,0.53418215360421,0.0188198930924222,48.708,18,0,1
28.4518828451883,0.527363043875723,0.0177599608441807,48.708,18,0,0
28.8702928870293,0.52088600083489,0.0173997177458271,48.708,18,0,0
29.2887029288703,0.514936262872178,0.0166149280365405,48.917,18,0,0
29.7071129707113,0.508258974496443,0.017568365062276,48.875,18,0,1
30.1255230125523,0.502476718615897,0.0167544714397681,48.833,18,0,0
30.5439330543933,0.495574440630466,0.0175425480386382,48.833,18,0,0
30.9623430962343,0.486702014321436,0.018036418138969,48.75,18,0,0
31.3807531380753,0.480138022648343,0.0196517749651962,48.917,18,0,0
31.7991631799163,0.477250846918628,0.0235221770922321,48.875,18,0,0
32.2175732217573,0.477303199388908,0.0253940905908602,48.75,18,0,0
32.6359832635983,0.478011618811698,0.0262541799524237,48.708,18,0,0
33.0543933054393,0.478262154593981,0.0288337906591976,48.542,18,0,0
33.4728033472803,0.479168642771946,0.0307123376986215,48.75,18,1,0
33.8912133891213,0.477009819353047,0.0324911425795928,48.75,18,0,1
