 ,Mean(RP1column),Mean(CBpeduncle),Mean(stimu)
227,36.823,28.686,35.583
228,36.665,28.513,36.000
229,36.769,28.607,35.917
230,36.696,28.471,36.417
231,36.641,28.370,36.667
232,36.770,28.732,36.667
233,36.874,28.753,36.667
234,36.853,28.703,36.667
235,36.770,28.693,36.667
236,36.790,28.628,36.583
237,36.743,28.590,35.667
238,36.771,28.555,36.583
239,36.664,28.340,36.167
240,36.606,28.304,36.000
241,36.571,28.235,36.000
242,36.576,28.192,36.083
243,36.477,28.132,35.750
244,36.596,28.140,36.083
245,36.569,28.089,36.083
246,36.494,28.009,36.083
247,36.371,27.938,36.167
248,36.408,27.907,36.333
249,36.402,27.962,35.917
250,36.429,27.889,36.083
251,36.285,27.845,36.250
252,36.340,27.986,35.500
253,36.279,27.805,36.167
254,36.262,27.895,35.917
255,36.294,28.049,35.917
256,36.257,28.077,35.917
257,36.208,28.078,35.917
258,36.178,28.038,35.917
259,36.178,28.196,36.167
260,36.189,28.233,35.917
261,36.156,28.295,35.917
262,36.034,28.330,35.917
263,36.026,28.347,35.917
264,36.014,28.478,35.917
265,36.024,28.549,35.833
266,35.970,28.625,35.917
267,36.081,28.760,35.917
268,35.930,28.742,36.000
269,35.942,28.862,35.917
270,35.832,28.880,35.583
271,35.870,28.968,35.917
272,35.830,29.043,35.417
273,35.818,29.067,35.750
274,35.767,29.076,35.917
275,35.706,29.211,36.083
276,35.633,29.223,35.417
277,35.622,29.233,36.167
278,35.690,29.370,35.833
279,35.706,29.368,36.167
280,35.635,29.376,40.333
281,35.488,29.397,45.583
282,35.595,29.414,50.917
283,35.560,29.402,52.750
284,35.566,29.356,57.417
285,35.421,29.335,62.000
286,35.426,29.148,64.333
287,35.456,29.280,64.667
288,35.400,29.263,64.833
289,35.343,29.112,64.833
290,35.341,29.105,64.917
291,35.373,29.044,64.917
292,35.383,29.092,64.917
293,35.363,28.957,64.750
294,35.370,28.979,64.750
295,35.312,28.989,65.083
296,35.338,28.924,64.583
297,35.157,28.783,65.083
298,35.246,28.794,64.750
299,35.158,28.608,65.250
300,35.126,28.595,64.750
301,35.134,28.572,64.750
302,35.155,28.720,64.750
303,35.171,28.639,64.750
304,35.045,28.518,64.750
305,35.097,28.540,64.833
306,35.000,28.507,64.833
307,35.032,28.511,64.833
308,35.005,28.483,64.833
309,35.013,30.219,64.833
310,35.309,34.408,64.833
311,35.388,34.775,64.833
312,35.272,34.392,64.833
313,35.321,34.059,64.833
314,35.369,33.995,64.833
315,35.294,33.659,64.833
316,35.125,32.912,64.833
317,35.033,32.395,64.667
318,34.945,31.961,64.833
319,34.899,31.397,64.667
320,34.701,30.939,64.667
321,34.557,30.576,64.667
322,34.440,30.038,64.667
323,34.344,29.781,65.000
324,34.362,29.430,65.000
325,34.263,29.267,65.000
326,34.274,28.946,65.000
327,34.125,28.589,65.000
328,34.104,28.411,65.000
329,33.970,28.279,65.000
330,33.997,28.031,65.000
331,33.821,27.797,65.000
332,33.838,27.723,65.000
333,33.838,27.734,65.000
334,33.767,27.620,65.000
335,33.674,27.475,65.000
336,33.865,27.621,65.000
337,33.822,27.410,65.167
338,33.811,27.317,65.167
339,33.699,27.266,65.083
340,33.683,27.120,65.000
341,33.652,27.071,65.000
342,33.738,27.091,65.000
343,33.812,32.375,65.000
344,33.949,32.081,65.000
345,33.874,31.018,65.167
346,33.852,30.080,64.833
347,33.946,29.622,64.833
348,34.031,28.850,64.833
349,34.309,32.111,64.833
350,34.440,31.789,64.833
351,34.523,30.735,64.833
352,34.539,29.918,64.833
353,34.501,28.944,64.833
354,34.541,28.282,64.833
355,34.971,31.868,64.833
356,35.108,31.188,64.833
357,35.006,30.222,64.833
358,34.831,29.418,64.833
359,34.882,28.896,64.833
360,35.102,31.838,64.833
361,35.060,31.205,64.833
